token,count
タイムトラベル,3
それぞれ,3
銀色,3
間違い,3
昨日,3
ドキドキ,3
検索,3
雨,3
頬,3
未,3
発見,3
想像,3
意識,3
ノート,3
高,3
他,3
ところ,3
怖い,3
時代,3
思いがけない,3
冷たい,3
鍵,3
ストーリー,3
モニター,3
結果,3
掌,3
力,3
身体,3
冒険,3
後悔,3
頼り,3
レベルアップ,3
七色,3
青,3
いま,3
流行,3
ひとつ,3
戦士,3
勇敢,3
偶然,3
手紙,3
果実,3
禁断,3
甘い,3
裏腹,3
幼い,3
週末,3
ゲーム,3
駅,3
愛しい,3
千,3
名,3
勇気,3
孤独,3
整備,2
怪我,2
鮮やか,2
そっか,2
ー,2
懐かしい,2
不安,2
ぬるい,2
達,2
用意,2
簡単,2
地平線,2
希望,2
気味,2
ささやか,2
鞄,2
軌道,2
乾杯,2
愛,2
人生,2
涙,2
軽い,2
黄昏,2
均等,2
レール,2
結末,2
デタラメ,2
いっか,2
優しい,2
満天,2
子供,2
祭囃子,2
どれ,2
値段,2
彷徨,2
チクタク,2
熱,2
幻,2
虫,2
流星,2
どっか,2
あれ,2
ペダル,2
憂鬱,2
プラン,2
シーン,2
宝石,2
グラデーション,2
重い,2
秒,2
当たり前,2
さっき,2
手触り,2
鱗粉,2
鉄塔,2
華麗,2
背伸び,2
アスファルト,2
柵,2
キャンパス,2
素敵,2
独り言,2
日記,2
思い,2
坂,2
粒,2
草,2
水平,2
温度,2
過去,2
タイムマシン,2
宝,2
物,2
有限,2
けら,2
真っ直ぐ,2
古い,2
足あと,2
せい,2
怒り,2
仕草,2
情熱,2
炎,2
西,2
陽,2
想い,2
決意,2
勝負,2
コイン,2
表,2
裏,2
選択,2
教科書,2
鏡,2
早足,2
遥か,2
自転車,2
それなり,2
神様,2
喧嘩,2
最高潮,2
火花,2
指先,2
チャイム,2
バグ,2
夕飯,2
無効,2
退屈,2
暑い,2
モヤ,2
背中,2
気配,2
満員,2
計画,2
...,2
隙間,2
進歩,2
文明,2
靴,2
ふとい,2
ワンダー,2
祭り,2
ぎこち,2
迷い,2
映画,2
論争,2
朝日,2
そば,2
嬉しい,2
月曜日,2
茜色,2
繰り返し,2
ルール,2
片思い,2
雪,2
番目,2
何人,2
春,2
今頃,2
幽霊,2
街角,2
越し,2
群れ,2
川,2
くし,1
短い,1
冷や汗,1
中心,1
鉄道,1
人間,1
午前,1
円柱,1
隣,1
失,1
誰か,1
沿い,1
暗い,1
大嫌い,1
素直,1
確認,1
大きい,1
不確か,1
太陽,1
横顔,1
6,1
不機嫌,1
部分,1
身,1
為,1
シーツ,1
幾,1
ルート,1
明るい,1
台風,1
遠回り,1
向こう岸,1
酸素,1
反射,1
一苦労,1
わけ,1
人波,1
ライト,1
完全,1
つまらない,1
曖昧,1
ウィンドウ,1
わがまま,1
弱い,1
周り,1
絶対,1
狡い,1
姿,1
騒ぎ,1
正直,1
視線,1
すれ違い,1
プライド,1
檻,1
怪物,1
たび,1
駆け足,1
幾つ,1
筋書き,1
夕日,1
盤上,1
興味,1
近頃,1
棘,1
宴,1
方向,1
逆,1
コーヒー,1
十字路,1
者,1
羽化,1
昼蛹,1
寒い,1
枚,1
半袖,1
眠り,1
純白,1
全速力,1
トカゲ,1
翅脈,1
半,1
深い,1
ーーーーー,1
天井,1
隅っこ,1
ホーム,1
慌ただしい,1
舞台,1
遅い,1
丘,1
人ごみ,1
馬鹿,1
テレビ,1
ドラマ,1
飛沫,1
歪み,1
発車,1
リボン,1
もどかしい,1
灯,1
金色,1
分岐,1
小さい,1
増殖,1
ベッド,1
ポケット,1
柔らかい,1
もうこ,1
コントロール,1
空想,1
東,1
現実,1
軌跡,1
強制,1
記憶,1
海辺,1
豊穣,1
壁,1
向かい風,1
無邪気,1
迷宮,1
困難,1
電話,1
香水,1
帯,1
シグナル,1
離ればなれ,1
カメラ,1
動物,1
列,1
風車,1
飛行船,1
果て,1
旅先,1
近い,1
賑やか,1
ヒラリ,1
流れ,1
動き,1
雨上がり,1
あくび,1
跡,1
英雄,1
おとぎ話,1
琥珀,1
汚い,1
スパイス,1
歩,1
収集,1
地帯,1
グラフィック,1
ころ,1
寝息,1
箱,1
欲しい,1
はじめ,1
響き,1
苦手,1
ラジオ,1
物静か,1
並み,1
ショーウインドウ,1
別れ,1
頑,1
夕空,1
羽根,1
密やか,1
夕闇,1
土,1
出口,1
浅い,1
重力,1
無,1
ふり,1
硝子,1
完成,1
カバン,1
よい,1
安全,1
合言葉,1
価値,1
データ,1
可能,1
交換,1
秒針,1
並,1
ピクセル,1
分断,1
忙しない,1
ラブレター,1
エンジン,1
車,1
気まぐれ,1
戦争,1
変換,1
まり,1
おいで,1
誕生,1
犠牲,1
めまぐるしい,1
バカ,1
下,1
上げ,1
アシスト,1
いたい,1
出会い,1
それら,1
腰,1
哀しい,1
眠い,1
待ち合わせ,1
待ちぼうけ,1
まわり,1
個,1
東西,1
南北,1
招待,1
アレ,1
コレ,1
ランデブー,1
道標,1
きらい,1
本音,1
紐,1
かたい,1
隠し場所,1
タイム,1
フリ,1
スタートライン,1
手順,1
攻略,1
翌日,1
オープンワールドゲーム,1
話題,1
半径,1
ビル,1
メートル,1
誇らしげ,1
ただしい,1
予報,1
晴れ,1
彼方,1
マーク,1
ウソつき,1
クタクタ,1
床,1
黄金,1
夏休み,1
顔,1
王様,1
視界,1
城,1
波打ち際,1
橙,1
藍色,1
調子,1
タイヤ,1
ひび割れ,1
おかげ,1
おだやか,1
ぼろい,1
外,1
発売,1
別々,1
内側,1
整理,1
掛け値,1
毒,1
グラス,1
校舎,1
奇跡,1
テレパシー,1
股,1
金曜日,1
広告,1
心配,1
人工,1
衛星,1
ケサランパサラン,1
24,1
パスワード,1
メモ,1
機密,1
文書,1
アクセス,1
スケッチブック,1
できごと,1
落書き,1
風船,1
穴,1
支配,1
赤信号,1
イヤホン,1
真っ赤,1
パラレル,1
位置,1
信号,1
苦しい,1
人気,1
早口,1
保留,1
難しい,1
置き去り,1
グラウンド,1
メール,1
トゲ,1
眠たい,1
栞,1
本,1
足音,1
代わり,1
恋しい,1
営み,1
ゴール,1
音色,1
縮尺,1
友,1
敵,1
天気,1
螺旋,1
階段,1
BPM,1
底,1
しよう,1
プラネット,1
モノクロ,1
危機,1
内申,1
猛,1
ビート,1
行き場,1
己,1
真,1
ファッション,1
雲の上,1
操作,1
会議,1
彗星,1
衝突,1
大気,1
ワンクリック,1
ゲージ,1
永遠,1
お祭り騒ぎ,1
制御,1
真実,1
遺産,1
ショッピング,1
端,1
記念,1
まばゆい,1
飽き,1
抜け殻,1
急ぎ足,1
パウダー,1
心臓,1
鉄,1
宙,1
歯車,1
移り気,1
写真,1
海沿い,1
モール,1
綺麗,1
秋,1
乗客,1
山,1
シート,1
快適,1
やすみ,1
冬,1
グラフィティ,1
的,1
刺激,1
根こそぎ,1
画面,1
カレンダー,1
散々,1
最中,1
最果て,1
路地,1
噂,1
加工,1
宛名,1
数字,1
夢中,1
だらけ,1
喧騒,1
真っ白,1
目覚まし,1
街灯,1
フロア,1
スニーカー,1
今夜,1
地点,1
着陸,1
ドア,1
ボリューム,1
ベース,1
キック,1
・,1
1,1
ディスプレイ,1
横断,1
獣,1
平凡,1
ゼロフレーム,1
終業,1
煌,1
夕立,1
臆病者,1
目線,1
アーチ,1
ひまわり,1
一面,1
去年,1
反対,1
限り,1
歩道,1
真ん中,1
足踏み,1
台詞,1
鳴き声,1
気高い,1
仮面,1
笑顔,1
狭い,1
広い,1
目抜き通り,1
下校,1
学校,1
